name,given_name,surname,pseudonym,country,sex,victims_proven,victims_suspected,years_active,active_from,active_to,country_lat,country_long
Dieter Zurwehme,Dieter,Zurwehme,,Germany,male,5.0,,1972–1999,1972.0,1999.0,51.165691,10.451526
Dimitris Vakrinos,Dimitris,Vakrinos,,Greece,male,5.0,,?–1997,,1997.0,39.074208,21.824312
Dominique Cottrez,Dominique,Cottrez,,France,female,8.0,,1989–2006,1989.0,2006.0,46.227638,2.213749
Donald Henry Gaskins,Donald,Henry Gaskins,Pee Wee,United States,male,9.0,110,1953–1982,1953.0,1982.0,37.09024,-95.712891
Donald Jay Beardslee,Donald,Jay Beardslee,,United States,male,3.0,,1969–1981,1969.0,1981.0,37.09024,-95.712891
Donald Leroy Evans,Donald,Leroy Evans,,United States,male,3.0,15-75,1970–1991,1970.0,1991.0,37.09024,-95.712891
Donald Neilson,Donald,Neilson,Black Panther,United Kingdom,male,4.0,,1975,1975.0,1975.0,55.378051,-3.435973
Donato Bilancia,Donato,Bilancia,"Monster von Ligurien, Riviera Serienmörder",Italy,male,17.0,,1997–1998,1997.0,1998.0,41.87194,12.56738
Dorothea Helen Puente,Dorothea,Helen Puente,,United States,female,3.0,9+,1982–1988,1982.0,1988.0,37.09024,-95.712891
Dorothy Jean Matajke,Dorothy,Jean Matajke,,United States,female,3.0,,1985–1987,1985.0,1987.0,37.09024,-95.712891
Dorothy Williams,Dorothy,Williams,,United States,female,3.0,,1987–1989,1987.0,1989.0,37.09024,-95.712891
Earle Leonard Nelson,Earle,Leonard Nelson,"The Gorilla Murderer, The Gorilla Killer, The Dark Strangler",United States,male,22.0,,1926–1927,1926.0,1927.0,37.09024,-95.712891
Ed Gein,Ed,Gein,Plainfield Ghoul,United States,male,2.0,2+,1954–1957,1954.0,1957.0,37.09024,-95.712891
Edmund Emil Kemper,Edmund,Emil Kemper,Co-Ed-Killer,United States,male,10.0,12,1963–1973,1963.0,1973.0,37.09024,-95.712891
Edson Isidoro Guimarães,Edson,Isidoro Guimarães,,Brazil,male,4.0,5,1999,1999.0,1999.0,-14.235004,-51.92528
Edward Castro,Edward,Castro,,United States,male,3.0,,1987,1987.0,1987.0,37.09024,-95.712891
Edward Edwards,Edward,Edwards,,United States,male,5.0,,1977–1996,1977.0,1996.0,37.09024,-95.712891
Edward J. Adams,Edward,J. Adams,,United States,male,7.0,,1920–1921,1920.0,1921.0,37.09024,-95.712891
Edward Joseph Leonski,Edward,Joseph Leonski,The Brownout Strangler,,male,3.0,,1942,1942.0,1942.0,36.524606,-95.0294497
Efren Saldivar,Efren,Saldivar,,United States,male,6.0,50,1988–1998,1988.0,1998.0,37.09024,-95.712891
Egidius Schiffer,Egidius,Schiffer,Würger von Aachen,Germany,male,5.0,,1983–1990,1983.0,1990.0,51.165691,10.451526
Elfriede Blauensteiner,Elfriede,Blauensteiner,Schwarze Witwe,Austria,female,3.0,,1992–1997,1992.0,1997.0,47.516231,14.550072
Elias Abuelazam,Elias,Abuelazam,The Serial Slasher/The Serial Stabber,United States,male,5.0,,2009–2010,2009.0,2010.0,37.09024,-95.712891
Elias Xitavhudzi,Elias,Xitavhudzi,Pangaman,South Africa,male,16.0,,1960s ,,,-30.559482,22.937506
Elifasi Msomi,Elifasi,Msomi,South Africa's Axe Killer,South Africa,male,15.0,,?–1956,,1956.0,-30.559482,22.937506
Elisabeth Wiese,Elisabeth,Wiese,,Germany,female,5.0,,?–1904,,1904.0,51.165691,10.451526
Ellen Etheridge,Ellen,Etheridge,,United States,female,4.0,,1913,1913.0,1913.0,37.09024,-95.712891
Elroy Chester,Elroy,Chester,,United States,male,5.0,,1997–1998,1997.0,1998.0,37.09024,-95.712891
Enrico Ballor,Enrico,Ballor,,Italy,male,4.0,,1897–1900,1897.0,1900.0,41.87194,12.56738
Enriqueta Martí i Ripollés,Enriqueta,Martí i Ripollés,Vampirin von Barcelona,Spain,female,12.0,20,?–1912,,1912.0,40.46366700000001,-3.74922
Eric Edgar Cooke,Eric,Edgar Cooke,The Night Caller,Australia,male,8.0,,1959–1963,1959.0,1963.0,-25.274398,133.775136
Erich Hauert,Erich,Hauert,Monster vom Zollikerberg,Switzerland,male,3.0,,1982–1993,1982.0,1993.0,46.818188,8.227511999999999
Ernst Dostal,Ernst,Dostal,,Austria,male,3.0,,1973,1973.0,1973.0,47.516231,14.550072
